Jahr;Land;ISO 3166;Region;Konfliktstufe;;;;;;;
1999;Kirgistan;KGZ;Asien/Ozenanien;4;;;;;;;
2000;Kirgistan;KGZ;Asien/Ozenanien;4;;;;;;;
2010;Kirgistan;KGZ;Asien/Ozenanien;4;;;;;;;
1998;Kolumbien;COL;Amerika;5;;;;;;;
1999;Kolumbien;COL;Amerika;5;;;;;;;
2000;Kolumbien;COL;Amerika;5;;;;;;;
2001;Kolumbien;COL;Amerika;5;;;;;;;
2002;Kolumbien;COL;Amerika;5;;;;;;;
2003;Kolumbien;COL;Amerika;5;;;;;;;
2004;Kolumbien;COL;Amerika;4;;;;;;;
2005;Kolumbien;COL;Amerika;4;;;;;;;
2006;Kolumbien;COL;Amerika;4;;;;;;;
2007;Kolumbien;COL;Amerika;4;;;;;;;
2008;Kolumbien;COL;Amerika;4;;;;;;;
2009;Kolumbien;COL;Amerika;4;;;;;;;
2010;Kolumbien;COL;Amerika;4;;;;;;;
2011;Kolumbien;COL;Amerika;4;;;;;;;
2012;Kolumbien;COL;Amerika;4;;;;;;;
2013;Kolumbien;COL;Amerika;4;;;;;;;
1999;Kongo (Rep);COG;Sub-Sahara Afrika;4;;;;;;;
2002;Kongo (Rep);COG;Sub-Sahara Afrika;4;;;;;;;
2003;Laos;LAO;Asien/Ozenanien;4;;;;;;;
2004;Laos;LAO;Asien/Ozenanien;4;;;;;;;
2005;Laos;LAO;Asien/Ozenanien;4;;;;;;;
1998;Lesotho;LSO;Sub-Sahara Afrika;4;;;;;;;
1998;Libanon;LBN;MENA;4;;;;;;;
1999;Libanon;LBN;MENA;4;;;;;;;
2001;Libanon;LBN;MENA;4;;;;;;;
2007;Libanon;LBN;MENA;4;;;;;;;
2008;Libanon;LBN;MENA;4;;;;;;;
1999;Liberia;LBR;Sub-Sahara Afrika;4;;;;;;;
2000;Liberia;LBR;Sub-Sahara Afrika;5;;;;;;;
2001;Liberia;LBR;Sub-Sahara Afrika;5;;;;;;;
2002;Liberia;LBR;Sub-Sahara Afrika;5;;;;;;;
2003;Liberia;LBR;Sub-Sahara Afrika;5;;;;;;;
2011;Libyen;LBY;MENA;5;;;;;;;
2012;Libyen;LBY;MENA;4;;;;;;;
2013;Libyen;LBY;MENA;4;;;;;;;
2002;Madagaskar;MDG;Sub-Sahara Afrika;4;;;;;;;
2001;Makedonien;MKD;Europa;4;;;;;;;
2008;Mali;MLI;Sub-Sahara Afrika;4;;;;;;;
2012;Mali;MLI;Sub-Sahara Afrika;5;;;;;;;
2011;Mauretanien;APR;MENA;4;;;;;;;
2007;Mexico;MEX;Amerika;4;;;;;;;
2008;Mexico;MEX;Amerika;4;;;;;;;
2009;Mexico;MEX;Amerika;4;;;;;;;
2010;Mexico;MEX;Amerika;5;;;;;;;
2011;Mexico;MEX;Amerika;4;;;;;;;
2012;Mexico;MEX;Amerika;5;;;;;;;
2013;Mexico;MEX;Amerika;5;;;;;;;
1998;Myanmar;MMR;Asien/Ozenanien;4;;;;;;;
2002;Myanmar;MMR;Asien/Ozenanien;4;;;;;;;
2003;Myanmar;MMR;Asien/Ozenanien;4;;;;;;;
2004;Myanmar;MMR;Asien/Ozenanien;4;;;;;;;
2006;Myanmar;MMR;Asien/Ozenanien;4;;;;;;;
2007;Myanmar;MMR;Asien/Ozenanien;4;;;;;;;
2009;Myanmar;MMR;Asien/Ozenanien;4;;;;;;;
2010;Myanmar;MMR;Asien/Ozenanien;4;;;;;;;
2011;Myanmar;MMR;Asien/Ozenanien;5;;;;;;;
2012;Myanmar;MMR;Asien/Ozenanien;5;;;;;;;
2013;Myanmar;MMR;Asien/Ozenanien;4;;;;;;;
1998;Nepal;NPL;Asien/Ozenanien;4;;;;;;;
1999;Nepal;NPL;Asien/Ozenanien;4;;;;;;;
2000;Nepal;NPL;Asien/Ozenanien;4;;;;;;;
2001;Nepal;NPL;Asien/Ozenanien;4;;;;;;;
2002;Nepal;NPL;Asien/Ozenanien;5;;;;;;;
2003;Nepal;NPL;Asien/Ozenanien;4;;;;;;;
2004;Nepal;NPL;Asien/Ozenanien;4;;;;;;;
2005;Nepal;NPL;Asien/Ozenanien;4;;;;;;;
1999;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2000;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2001;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2002;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2003;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2004;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2006;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2007;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2008;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2009;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2010;Nigeria;NGA;Sub-Sahara Afrika;4;;;;;;;
2011;Nigeria;NGA;Sub-Sahara Afrika;5;;;;;;;
2012;Nigeria;NGA;Sub-Sahara Afrika;5;;;;;;;
2013;Nigeria;NGA;Sub-Sahara Afrika;5;;;;;;;
1999;Nordkorea;PRK;Asien/Ozenanien;4;;;;;;;
1998;Pakistan;PAK;Asien/Ozenanien;4;;;;;;;
1999;Pakistan;PAK;Asien/Ozenanien;4;;;;;;;
2000;Pakistan;PAK;Asien/Ozenanien;4;;;;;;;
2002;Pakistan;PAK;Asien/Ozenanien;4;;;;;;;
2003;Pakistan;PAK;Asien/Ozenanien;4;;;;;;;
2006;Pakistan;PAK;Asien/Ozenanien;4;;;;;;;
2007;Pakistan;PAK;Asien/Ozenanien;5;;;;;;;
2008;Pakistan;PAK;Asien/Ozenanien;5;;;;;;;
2009;Pakistan;PAK;Asien/Ozenanien;5;;;;;;;
2010;Pakistan;PAK;Asien/Ozenanien;5;;;;;;;
2011;Pakistan;PAK;Asien/Ozenanien;5;;;;;;;
2012;Pakistan;PAK;Asien/Ozenanien;5;;;;;;;
2013;Pakistan;PAK;Asien/Ozenanien;5;;;;;;;
2009;Peru;PER;Amerika;4;;;;;;;
1999;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2000;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2001;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2002;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2003;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2005;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2006;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2008;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2009;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2012;Philippinen;PHL;Asien/Ozenanien;4;;;;;;;
2013;Philippinen;PHL;Asien/Ozenanien;5;;;;;;;
1998;Ruanda;RWA;Sub-Sahara Afrika;4;;;;;;;
2000;Ruanda;RWA;Sub-Sahara Afrika;4;;;;;;;
2001;Ruanda;RWA;Sub-Sahara Afrika;4;;;;;;;
2004;Ruanda;RWA;Sub-Sahara Afrika;4;;;;;;;
1998;Russland;RUS;Europa;4;;;;;;;
1999;Russland;RUS;Europa;5;;;;;;;
2000;Russland;RUS;Europa;5;;;;;;;
2001;Russland;RUS;Europa;5;;;;;;;
2002;Russland;RUS;Europa;5;;;;;;;
2003;Russland;RUS;Europa;4;;;;;;;
2004;Russland;RUS;Europa;4;;;;;;;
2005;Russland;RUS;Europa;4;;;;;;;
2006;Russland;RUS;Europa;4;;;;;;;
2008;Russland;RUS;Europa;5;;;;;;;
2009;Russland;RUS;Europa;4;;;;;;;
2010;Russland;RUS;Europa;4;;;;;;;
2011;Russland;RUS;Europa;4;;;;;;;
2012;Russland;RUS;Europa;4;;;;;;;
2013;Russland;RUS;Europa;4;;;;;;;
2000;Salomonen;SLB;Asien/Ozenanien;4;;;;;;;
2009;Saudi Arabien;SAU;MENA;4;;;;;;;
2010;Saudi Arabien;SAU;MENA;4;;;;;;;
1998;Senegal;SEN;Sub-Sahara Afrika;4;;;;;;;
2001;Senegal;SEN;Sub-Sahara Afrika;4;;;;;;;
2002;Senegal;SEN;Sub-Sahara Afrika;4;;;;;;;
2006;Senegal;SEN;Sub-Sahara Afrika;4;;;;;;;
1998;Sierra Leone;SLE;Sub-Sahara Afrika;4;;;;;;;
1999;Sierra Leone;SLE;Sub-Sahara Afrika;5;;;;;;;
2000;Sierra Leone;SLE;Sub-Sahara Afrika;5;;;;;;;
2001;Sierra Leone;SLE;Sub-Sahara Afrika;4;;;;;;;
1999;Somalia;SOM;Sub-Sahara Afrika;4;;;;;;;
2001;Somalia;SOM;Sub-Sahara Afrika;4;;;;;;;
2002;Somalia;SOM;Sub-Sahara Afrika;4;;;;;;;
2003;Somalia;SOM;Sub-Sahara Afrika;4;;;;;;;
2004;Somalia;SOM;Sub-Sahara Afrika;4;;;;;;;
2006;Somalia;SOM;Sub-Sahara Afrika;5;;;;;;;
2007;Somalia;SOM;Sub-Sahara Afrika;5;;;;;;;
2008;Somalia;SOM;Sub-Sahara Afrika;5;;;;;;;
2009;Somalia;SOM;Sub-Sahara Afrika;5;;;;;;;
2010;Somalia;SOM;Sub-Sahara Afrika;5;;;;;;;
2011;Somalia;SOM;Sub-Sahara Afrika;5;;;;;;;
2012;Somalia;SOM;Sub-Sahara Afrika;5;;;;;;;
2013;Somalia;SOM;Sub-Sahara Afrika;5;;;;;;;
2000;Spanien;ESP;Europa;4;;;;;;;
2001;Spanien;ESP;Europa;4;;;;;;;
1998;Sri Lanka;LKA;Asien/Ozenanien;5;;;;;;;
1999;Sri Lanka;LKA;Asien/Ozenanien;4;;;;;;;
2000;Sri Lanka;LKA;Asien/Ozenanien;5;;;;;;;
2001;Sri Lanka;LKA;Asien/Ozenanien;5;;;;;;;
2002;Sri Lanka;LKA;Asien/Ozenanien;4;;;;;;;
2003;Sri Lanka;LKA;Asien/Ozenanien;4;;;;;;;
2004;Sri Lanka;LKA;Asien/Ozenanien;4;;;;;;;
2006;Sri Lanka;LKA;Asien/Ozenanien;5;;;;;;;
2007;Sri Lanka;LKA;Asien/Ozenanien;5;;;;;;;
2008;Sri Lanka;LKA;Asien/Ozenanien;5;;;;;;;
2009;Sri Lanka;LKA;Asien/Ozenanien;5;;;;;;;
1998;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
1999;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2000;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2001;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2002;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
